iter	Passed	Remaining
667	851	423
668	852	421
669	853	420
670	855	419
671	856	417
672	856	416
673	858	414
674	859	413
675	860	412
676	861	410
677	862	409
678	863	408
679	864	406
680	865	405
681	865	403
682	866	402
683	867	400
684	868	399
685	869	398
686	870	396
687	871	395
688	872	393
689	873	392
690	873	390
691	874	389
692	875	387
693	876	386
694	877	385
695	878	383
696	878	382
697	879	380
698	880	379
699	881	377
700	882	376
701	882	374
702	883	373
703	884	371
704	885	370
705	886	368
706	886	367
707	887	366
708	888	364
709	889	363
710	889	361
711	890	360
712	891	358
713	892	357
714	893	356
715	893	354
716	894	353
717	895	351
718	896	350
719	896	348
720	897	347
721	898	345
722	899	344
723	900	343
724	900	341
725	901	340
726	902	338
727	903	337
728	903	336
729	904	334
730	905	333
731	906	331
732	907	330
733	908	329
734	908	327
735	909	326
736	910	324
737	911	323
738	912	322
739	913	320
740	913	319
741	914	318
742	915	316
743	916	315
744	917	313
745	918	312
746	918	311
747	919	309
748	920	308
749	921	307
750	922	305
751	923	304
752	923	303
753	924	301
754	925	300
755	926	299
756	927	297
757	928	296
758	929	295
759	930	293
760	931	292
761	931	291
762	932	289
763	933	288
764	934	287
765	935	285
766	936	284
767	937	283
768	938	281
769	939	280
770	940	279
771	941	278
772	942	276
773	943	275
774	944	274
775	945	272
776	946	271
777	947	270
778	948	269
779	949	267
780	949	266
781	950	265
782	951	263
783	952	262
784	953	261
785	953	259
786	954	258
787	955	257
788	956	255
789	957	254
790	957	253
791	958	251
792	959	250
793	960	249
794	961	247
795	962	246
796	963	245
797	963	243
798	964	242
799	965	241
800	966	240
801	967	238
802	967	237
803	968	236
804	969	234
805	970	233
806	971	232
807	972	231
808	973	229
809	974	228
810	975	227
811	976	225
812	976	224
813	977	223
814	978	222
815	979	220
816	980	219
817	980	218
818	981	216
819	982	215
820	983	214
821	984	213
822	985	211
823	985	210
824	986	209
825	987	208
826	988	206
827	989	205
828	990	204
829	991	203
830	992	201
831	993	200
832	994	199
833	995	198
834	996	196
835	997	195
836	998	194
837	999	193
838	1000	191
839	1001	190
840	1002	189
841	1003	188
842	1004	187
843	1005	185
844	1006	184
845	1007	183
846	1008	182
847	1008	180
848	1009	179
849	1010	178
850	1011	177
851	1012	175
852	1013	174
853	1014	173
854	1014	172
855	1015	170
856	1016	169
857	1017	168
858	1018	167
859	1019	165
860	1019	164
861	1020	163
862	1021	162
863	1022	160
864	1022	159
865	1023	158
866	1024	157
867	1025	155
868	1025	154
869	1026	153
870	1027	152
871	1027	150
872	1028	149
873	1029	148
874	1030	147
875	1031	145
876	1032	144
877	1032	143
878	1033	142
879	1034	141
880	1035	139
881	1036	138
882	1036	137
883	1037	136
884	1038	134
885	1039	133
886	1039	132
887	1040	131
888	1041	130
889	1042	128
890	1043	127
891	1043	126
892	1044	125
893	1045	123
894	1046	122
895	1047	121
896	1047	120
897	1048	119
898	1049	117
899	1050	116
900	1051	115
901	1051	114
902	1052	113
903	1053	111
904	1054	110
905	1055	109
906	1055	108
907	1056	107
908	1057	105
909	1058	104
910	1059	103
911	1059	102
912	1060	101
913	1061	99
914	1062	98
915	1063	97
916	1063	96
917	1064	95
918	1065	93
919	1066	92
920	1066	91
921	1067	90
922	1068	89
923	1069	87
924	1070	86
925	1070	85
926	1071	84
927	1072	83
928	1073	82
929	1074	80
930	1075	79
931	1075	78
932	1076	77
933	1077	76
934	1078	74
935	1079	73
936	1079	72
937	1080	71
938	1081	70
939	1082	69
940	1083	67
941	1084	66
942	1085	65
943	1086	64
944	1087	63
945	1088	62
946	1088	60
947	1089	59
948	1090	58
949	1091	57
950	1092	56
